ANITA YOGENDRA SHARMA,Indian National Congress,78989
DEVJI BHAI PATEL,Bharatiya Janata Party,59589
PANNA LAL SAHU,Janta Congress Chhattisgarh (J),14968
SANJU YADAV,Independent,3343
SANGITA BAGHEL,Independent,2197
DR. OM PRAKASH SAHU,Samajwadi Party,632
TAMESHWAR SAHU,Independent,592
PURAN LAL BAGHEL,Independent,521
ANIL PURI GOSWAMI,Independent,390
DHANESH KUMAR MAIRISHA,Ambedkarite Party of India,383
SANTOSH DUBEY,Aam Aadmi Party,324
RAJESH KUMAR BANJARE,Rashtriya Jansabha Party,293
DASHRATH BIRJALE,Independent,280
TIKARAM SAHU,Independent,265
GULAB TANDON,Independent,236
GUNISH KUMAR VERMA (LATE CHHEDULAL VERMA),Independent,127
None of the Above,None of the Above,1361
