NAGENDRA SINGH,Bharatiya Janata Party,54637
YADVENDRA SINGH,Indian National Congress,53403
DR. RASHMI SINGH ARUNENDRA SINGH,Independent,25700
ADV. RAMBIHARI,Bahujan Samaj Party,22428
RAMSAJEEVAN KOL,Gondvana Gantantra Party,1934
PREMLAL,Independent,1242
VIVEK SINGH LODHI,Aam Aadmi Party,1172
AVADHRAJ SINGH,Independent,972
PRASANNA PRATAP SINGH,Independent,943
BIRENDRA BHAI PATEL,Samajwadi Party,912
SUNEEL KUMAR SONU BHAIYA,Sapaks Party,810
GAJENDRA SINGH LODHI,Pichhara Samaj Party United,487
SANT KUMAR GUPTA (PAPPU BHAIYA),Bhartiya Shakti Chetna Party,424
RAJENDRA JAISWAL,Peoples Party of India (Democratic),357
PHOOLAN DEVI BAGARI,Akhil Bhartiya Apna Dal,272
None of the Above,None of the Above,2301
