ANIL JAIN,Bharatiya Janata Party,49738
MEERA DEEPAK YADAV,Samajwadi Party,40901
GANESH PRASAD KUSHWAHA,Bahujan Samaj Party,21444
"AHIR CAPTAIN SURENDRA SINGH ""BOXY""",Indian National Congress,12221
RAMESH NIRALA,Independent,2764
RAMPRASAD,Independent,1389
ABHISHEK SHARAN YADAV,Independent,911
SANTOSH YADAV,Independent,868
AHIRWAR DEVENDRA KUMAR,Independent,730
MAHESH KUMAR RAJU KHARE,Sanjhi Virasat Party,637
BHAGBAN DAS KUSHWAHA,Jan Adhikar Party,634
HINDU SATYANATH,Independent,497
PAWAN,Independent,475
ANIL TIWARI (PUTRIKHERA),Bharatiya Prajashakti Party,472
DHEERENDRA PRATAP SINGH (RAJEEV),Independent,417
ACHCHHE LAL,Aajad Bharat Party (Democratic),335
BHAGBAN DAS KORI,Pragatisheel Manav Samaj Party,303
GOPAL SINGH THAKUR,Aam Aadmi Party,282
None of the Above,None of the Above,456
