RAJNISH KUMAR SINGH,Bharatiya Janata Party,49601
RAJENDRA SAHU(DABBU),Indian National Congress,43342
ANIL TAH,Janta Congress Chhattisgarh (J),38308
SOHIT YADAV OR BUNTY,Independent,2576
SHITAL SONI,Aap Sabki Apni Party,1663
SANJAY SINGH(GURUJI),Independent,1458
ARVIND KUMAR PANDEY,Aam Aadmi Party,881
SURESH KUMAR KINLE,Nationalist Congress Party,797
AJAY SHARMA,Shiv Sena,680
PARAS RAM YADAW,Independent,518
KIRAN KUMAR SINGH,Gondvana Gantantra Party,452
RUPENDRA KUMAR SURYAWANSHI,Republican Party of India (A),411
NAVEEN KUMAR SAHU,Ambedkarite Party of India,387
RAMESH SAHU,Janata Dal  (United),363
NANDKUMAR KAMAL,India Praja Bandhu Party,186
None of the Above,None of the Above,2176
