PARAS NATH RAJWADE,Indian National Congress,74623
RAJNI RAVISHANKAR TRIPATHI,Bharatiya Janata Party,58889
RAM ADHEEN POYA,Samajwadi Party,10050
SURENDRA CHOUDHARY,Janta Congress Chhattisgarh (J),9067
MADHU TIWARI,Independent,3967
SURENDRA LAL SINGH NETI,Communist Party of India  (Marxist),2673
DILEEP YADAV (KASKELA),Independent,1608
LAVKUSH THAKUR,Independent,1407
SAHEBAN PRASAD BHAGAT,Independent,1228
ALAM SAI SINGH,Independent,1005
D. K. SONI,Aam Aadmi Party,877
TILESHWAR PRASAD RAJWADE,Independent,844
OM PRAKASH SONWANI,Independent,807
SITA RAM BHASKAR,Independent,803
MOHAN SINGH TEKAM,Shiv Sena,734
KUMAIT SANDIL,Independent,692
UPENDRA GUPTA,Independent,683
RAMLAL RAJWADE,Bhartiya Panchyat Party,517
HARIBHAGAT YADAV,Independent,472
ANAND RAJWADE,Independent,439
None of the Above,None of the Above,981
