"JALAM SINGH PATEL ""MUNNA BHAIYA""",Bharatiya Janata Party,87837
LAKHAN SINGH PATEL,Indian National Congress,72934
"AMAR NORIYA ""PATRKAR""",Nirbal Indian Shoshit Hamara Aam Dal,2154
JHABBULAL AHIRWAR (MAJOR),Bahujan Samaj Party,1529
AMITA RAGHUWANSHI,Independent,1385
JALAM SINGH PATEL,Independent,811
DEVENDRA DUBEY,Sapaks Party,778
ER. YOGESH SINGH KUSHWAHA,Rashtriya Lok Samta Party,558
BABULAL PATEL,Aam Aadmi Party,517
MUKESH BHALAVI,Gondvana Gantantra Party,406
MASTRAM ALIAS KAILASH LODHI,Bhartiya Shakti Chetna Party,275
None of the Above,None of the Above,3293
