RAMKHELAWAN PATEL,Bharatiya Janata Party,59836
"DR. RAJENDRA KUMAR SINGH ""DADA BHAI""",Indian National Congress,56089
CHHANGELAL KOL,Bahujan Samaj Party,37918
OM PRAKASH GAUTAM,Independent,1908
RAJIV LOCHAN TIWARI,Independent,1625
AMIT KUMAR TIWARI,Samajwadi Party,1495
COM. RAJDHANI SINGH,Communist Party of India,1427
JITENDRA CHAURASIYA,Aam Aadmi Party,899
MO. HABEB,Apna Dal (Soneylal),794
DR. SANTOSH KUMAR GUPTA,Gondvana Gantantra Party,750
ER. VIRENDRA KUMAR PATEL,Independent,612
SHIVKUMAR TRIPATHI,Bharatiya Jan Morcha Party,487
'YOGI' PRADEEP TIWARI AD.,Sapaks Party,397
DINESH KEWAT (MANJHI),Rashtriya mahan Gantantra Party,376
DADHIBAL PRASAD PATEL,Akhil Bhartiya Apna Dal,261
None of the Above,None of the Above,2380
