BRAJENDRA SINGH RATHORE,Indian National Congress,52436
DR. SHISHUPAL YADAV,Samajwadi Party,44816
KUSHWAHA NANDRAM,Bahujan Samaj Party,30043
ABHAY AKHAND PRATAP SINGH YADAV,Bharatiya Janata Party,10391
MUKESH BHADORIYA,Independent,1418
BHAIYA LAL ADIWASI,Independent,1052
RAKESH KUMHAR,Independent,974
AYODHYA PRASAD (A.P.),Aam Aadmi Party,972
SHISHUPAL YADAV,Independent,768
KAMMOD PRASAD,Nirbal Indian Shoshit Hamara Aam Dal,734
AVDHESH PRATAP SINGH BUNDELA,Independent,715
VIJAY KUMAR GHOSH,Independent,543
ANIL SAHU,Independent,500
RAHUL SINGH GHOSH,Naya Bharat Party,483
NANDRAM KUSHWAHA,Independent,466
RAJENDRA KUMAR KUSHAWAHA,Independent,453
KEVAT PARBATA,Independent,421
ABHAY VERMA,Independent,388
KEWAT PYARELAL,Independent,378
None of the Above,None of the Above,359
