GIRRAJ DANDOTIYA,Indian National Congress,69597
SHIV MANGAL SINGH TOMAR,Bharatiya Janata Party,51120
CHHATTAR SINGH TOMAR,Bahujan Samaj Party,14456
JITENDRA SINGH,Independent,1146
KISHORILAL,Independent,909
PRABHU SINGH,Independent,756
SHYAMKARAN KHADIYAHAR,Sampoorna Samaj Party,382
BALVEER SINGH,Jan Adhikar Party,328
AJAMER SINGH,Independent,315
BRAJWASHI KUSHWAH,Samajwadi Party,306
MUKESH SINGH KUSHWAH,Rashtriya Lok Samta Party,297
AROON SINGH,Bhartiya Jan Yug Party,286
SIYARAM SINGH HARSANA,Bhartiya Veer Dal,275
BISHAWNATH,Independent,188
BAIJNATH,Rashtriya Krantikari Samajwadi Party,178
SATYENDRA SINGH TOMAR,Shiv Sena,159
GHAN SHYAM SINGH TOMAR,Aam Aadmi Party,138
MAHENDRA SINGH TOMAR,All India Forward Bloc,97
None of the Above,None of the Above,436
