KESHAV PRASAD CHANDRA,Bahujan Samaj Party,64774
KAILASH SAHU,Bharatiya Janata Party,43087
ANIL KUMAR CHANDRA,Indian National Congress,38594
NARSINGH SINHA,Independent,1286
SAHEB LAL CHANDRA,Independent,1156
RESHAMLAL KHUNTE,Independent,1134
SANTOSH KUMAR JATWAR,Ambedkarite Party of India,1036
MARTAND SINGH BANAFAR,Aam Aadmi Party,1026
RAM SAY KASHYAP,Independent,964
PITAMBER DEEWAR,Shiv Sena,773
RAJ KUMAR CHANDRA,Independent,435
SHANTI KUMAR RATRE (WAKIL),Gondvana Gantantra Party,333
None of the Above,None of the Above,1527
