DINESH RAI MUNMUN,Bharatiya Janata Party,99576
MOHAN SINGH CHANDEL,Indian National Congress,77568
GAYA PRASAD KUMRE,Gondvana Gantantra Party,6066
MAKBOOL SHAH,Independent,2536
TANVIR KHAN,Independent,2314
D.D. WASNIK,Communist Party of India,2038
AHMAD SHAEED QURESHI,Bahujan Samaj Party,1392
M. RAHMAN,Independent,1210
HEMANT KUMAR SHRIVAS (JITTU BHAIYA),Independent,1143
RAJENDRA GUPTA 'TAKSHAK',Independent,1030
GOVIND SHRIVAS BHAIYA SARKAR,Independent,984
KAMLESHWAR PRASAD DIXIT,Sapaks Party,832
RAGHUVIR SINGH SANODIYA,Aam Aadmi Party,675
UMESH KUMAR JAIN,Shiv Sena,569
KUNWAR SINGH BHALAVI,Independent,502
SULEMAN KADRI,Bahujan Mukti Party,477
OAMKAR,Independent,470
NARESH  CHOURASIYA(BABLU),India Praja Bandhu Party,309
RAJARAM YADAV,Independent,307
None of the Above,None of the Above,769
