DR. LAKSHMI DHRUW,Indian National Congress,88451
PINKY SHIVRAJ SHAH,Bharatiya Janata Party,43015
VINOD KUMAR NAGWANSHI,Gondvana Gantantra Party,8126
MAKHAN LAL MARKAM,Independent,4729
SHANTANU SOM,Janta Congress Chhattisgarh (J),2312
AKBAR MANDAVI,Aam Aadmi Party,1544
JAGANNATH DHRUW,Loktantrik Samajwadi Party,1399
MADALSA DHRUV (RUKHMANI),Independent,1155
BHAGIRAM MANDAVI,Independent,746
JETHURAM DHRUV,Independent,541
ISHWAR LAL KORRAM,Ambedkarite Party of India,371
None of the Above,None of the Above,4306
