AMITESH SHUKLA,Indian National Congress,99041
SANTOSH UPADHYAY,Bharatiya Janata Party,40909
ROHIT SAHU,Janta Congress Chhattisgarh (J),23776
VISHWANATH SONWANI,Independent,1474
BHUSHAN SAHU,Bhartiya Shakti Chetna Party,1136
TEJRAM SAHU VIDROHI,Communist Party of India (Marxist-Leninist) Red Star,934
PARDESHI RAM DHRUW,Gondvana Gantantra Party,769
DEVRAJ THAKUR,Independent,662
RAJA THAKUR,Aam Aadmi Party,610
GANESH SONI URF BABA,Independent,574
GOPAL JETHI,Independent,420
FALENDRA KUMAR SAHU,Pichhara Samaj Party United,404
None of the Above,None of the Above,4844
