SURENDRA PATWA,Bharatiya Janata Party,92458
SURESH PACHOURI,Indian National Congress,62972
RAVI DHURVEY,Gondvana Gantantra Party,10772
POHAP SINGH CHOUDHRY,Bahujan Samaj Party,1642
ARPIT SHRIVASTAVA,Aam Aadmi Party,1406
MAN SINGH RAGHUWANSHI,Independent,1002
PAPPU SINGH,Independent,869
KU. SEEMA SHARMA,Sapaks Party,457
MANOJ MEENA,Jai Lok Party,450
ANIL MANDLOI,Independent,434
DR. DHARMENDRA AHIRWAR,Bahujan Sangharshh Dal,399
RAVINDRA KUMAR SAHU,All India Democratic Party,381
None of the Above,None of the Above,1848
