SHYAM LAL DWIVEDI,Bharatiya Janata Party,52729
RAMASHANKAR SINGH,Indian National Congress,47386
GEETA RAJMANI MAJHI,Bahujan Samaj Party,17396
RAMASHRAY HARIJAN,Independent,1450
RANJAN TRIPATHI,Independent,1308
DHARMENDRA KUMAR GAUTAM (DADU),Sapaks Party,1295
ROSHANLAL MANJHI,Independent,1071
INDRANATH TIWARI,Independent,935
RAMASAJEEVAN,Independent,883
RADHESHYAM,Bahujan Mukti Party,746
"SUKHADEO VERMA ""MADARO""",Independent,633
SHIVCHARAN KUSHWAHA (MATHUR),Jan Adhikar Party,557
"""JWALA"" SHAILENDRA KUMAR PANDEY",Independent,555
C.P. SINGH,Aam Aadmi Party,553
BHAGAWAT PRASAD TIWARI,Bhartiya Shakti Chetna Party,488
SHIV KUMAR TIWARI,Independent,441
YOGENDRA PRASAD TIWARI,Adhikar Vikas Party,316
SUMIT KUMAR SHIVADIYA,Independent,295
INDRAPAL SETHI,Independent,242
RAJPAL KORI,Peoples Party of India (Democratic),213
None of the Above,None of the Above,300
