DR. VINAY JAISWAL,Indian National Congress,35819
SHYAM BIHARI JAISWAL,Bharatiya Janata Party,31745
LAKHAN LAL SHRIVASTAVA (PANI WALE BABA),Janta Congress Chhattisgarh (J),12907
ADITYA RAJ DAVID,Gondvana Gantantra Party,11564
SATISH KUMAR SINGH,Aam Aadmi Party,1004
DEEPAK KUMAR,Independent,805
DIGAMBER SINGH,Independent,766
JALJEET SINGH POYA,Rashtriya Gondvana Party,526
DR. FLORENCE NIGHTINGLE SAGAR (DR. LAKRA MADAM),Janata Dal  (United),374
PARATAP SINGH,Bhartiya Panchyat Party,266
None of the Above,None of the Above,2112
