AMAR SINGH,Bharatiya Janata Party,86585
SARASWATI SINGH,Indian National Congress,27337
"ASHOK SINGH PAIGAM ""ADVOCATE""",Bahujan Samaj Party,17491
DAL PRATAP SINGH POYA,Gondvana Gantantra Party,5169
DHANASHAH BAIGA,Shiv Sena,2387
RAMDHANI,Independent,2081
SURYA KAMAL,Bhartiya Shakti Chetna Party,1953
SANJEEV KUMAR PANIKA,Peoples Party of India (Democratic),1739
AVADHESH,Aam Aadmi Party,1424
BABULAL,Republican Party of India (A),1349
PAVAN KUMAR VERMA,Nirbal Indian Shoshit Hamara Aam Dal,1196
SHYAM NARAYAN,Jan Kalyan Party,1177
PARAS KOL,Jan Adhikar Party,750
DHANESH,Saman Aadmi Saman Party,711
None of the Above,None of the Above,5420
