PHUNDELAL SINGH MARKO,Indian National Congress,62352
NARENDRA SINGH MARAVI,Bharatiya Janata Party,40951
ANIL SINGH DHURWEY,Gondvana Gantantra Party,19579
SUDAMA SINGH SINGRAM,Independent,5157
AMIT PADAWAR (ADHIVAKTA),Bhartiya Shakti Chetna Party,3596
VISHAMBHAR SINGH MARKO,Communist Party of India  (Marxist),2656
PRAKASH SINGH DHURWEY,Independent,1798
NAYAN SINGH DHURWEY,Bahujan Samaj Party,1713
HUBLAL TANDIYA,Aam Aadmi Party,1586
SAHDEV SINGH PARASTE SWAI.SE.NI.SHIKSHAK,Independent,1554
NARAYAN SINGH TILGAM,Rashtriya Aamjan Party,1011
NARBADA PRASAD SINGH DHURWEY (VAKIL),Rashtravyapi Janta Party,884
ANUP SINGH TEKAM,Peoples Party of India (Democratic),768
None of the Above,None of the Above,4072
