DWARIKADHISH YADAV,Indian National Congress,96108
MONIKA DILIP SAHU,Bharatiya Janata Party,39130
PARESH BAGBAHARA,Janta Congress Chhattisgarh (J),12649
BHEKHLAL SAHU URF BHEKHU,Independent,5228
BASANTA THAKUR,Nationalist Congress Party,2972
MOHINI RAJENDRA PANDE,Independent,1376
BHUKHAN LAL SAHU,Independent,1219
BHUWANLAL SAHU,Independent,935
CHAMPALAL PATEL,Independent,829
SANTOSH CHANDRAKAR,Aam Aadmi Party,764
NAND KUMAR NISHAD,Pichhara Samaj Party United,683
LOKESWAR CHANDRAKAR (LOKU),Shiv Sena,665
KUMAR GOND,Gondvana Gantantra Party,577
DAYARAM,Independent,529
JAGESHWAR (JUGNU) CHANDRAKAR,Independent,421
TEJSINGH,Independent,343
ROSHAN TANDE,Independent,332
GOVARDHAN NISHAD,Rashtriya Jansabha Party,269
RAMAWATAR DHRUW,Independent,168
MO. SARFARAJ,Independent,103
None of the Above,None of the Above,499
