VIDYA RATAN BHASIN,Bharatiya Janata Party,72920
BADRUDDIN QURESHI,Indian National Congress,54840
MANOJ KUMAR,Janta Congress Chhattisgarh (J),10696
HEMANT CHAUHAN,Independent,797
ANJULA BHARGAVA,Aam Aadmi Party,777
SHANKAR LAL SAHU,Bhrashtachar Mukti Morcha,568
LATA NUNHADE,Chhattisgarh Swabhiman Manch,472
ASHWINI KUMAR SHUKLA,Swabhiman Party,448
PANKAJ SIRSAT,Ambedkarite Party of India,414
SUBEDAR SINGH YADAV,Samajwadi Party,412
YAGESHWAR SAHU,Independent,381
RAJKISHOR GUPTA,Independent,379
NAZRUL KHAN,Independent,356
JANISAR AKHTAR,Independent,306
ALI HUSSAIN SIDDIQUI,Independent,185
None of the Above,None of the Above,2724
