DR. PRITAM RAM,Indian National Congress,77773
VIJAYNATH SINGH,Bharatiya Janata Party,55594
SUMITRA SINGH PAIKRA,Independent,1949
PRADEEP BARWA,Aam Aadmi Party,1884
MAYA BHAGAT,Bahujan Samaj Party,1804
RAM PRASAD TEKAM,Independent,1799
CHAKRADHARI SINGH,Nationalist Congress Party,1567
MEENA SINGH TEKAM,Communist Party of India  (Marxist),1562
RAM KUMAR SINGH,Independent,1252
SUNA RAM EKKA,Independent,1169
FRANSISKA TIRKEY,Pichhara Samaj Party United,704
BHARAT SINGH MARAVI,Independent,655
PARASNATH LAKRA,Independent,529
CHAIN SAI KINDO,Independent,511
NIRANJAN BARWA,Independent,502
None of the Above,None of the Above,2626
