DR. PRABHURAM CHOUDHARY,Indian National Congress,89567
MUDIT SHEJWAR,Bharatiya Janata Party,78754
RAJENDRA KUMAR (RAJJU BHAIYA),Independent,1483
SMT. SHIV KUMARI,Bahujan Samaj Party,1029
MANOHAR LAL MEHRA,Independent,882
DEEWAN SINGH MALVIYA,Shiv Sena,763
MR. ARUN KUMAR,Independent,436
ANITA SWARAJ,Sapaks Party,420
CHHAGAN LAL RAJAK,Independent,279
PRAMODA KUMAR BELDAR,Aam Aadmi Party,187
"""MUNNA"" ARJUN SINGH",Independent,179
KOMAL SINGH DHAPLIWALA,Bhartiya Panchyat Party,156
None of the Above,None of the Above,2519
