RAJENDRA SHUKLA,Bharatiya Janata Party,69806
ABHAY MISHRA,Indian National Congress,51717
KASIM KHAN,Bahujan Samaj Party,6427
KRISHNA KUMAR GUPTA (K.K.),Apna Dal (Soneylal),1603
SOMESH PRATAP SINGH,Sapaks Party,867
ENG. SURYABHAN JAISWAL,Peoples Party of India (Democratic),783
RAMAYAN SINGH,Samajwadi Party,751
SHIVENDRA DWIVEDI,Bhartiya Shakti Chetna Party,735
GAURAV VARMA,Aam Aadmi Party,478
AJIJ KHAN (MUNNA),Independent,336
SUBHRANSHU DWIVEDI - PADRI,Public Political Party,268
RAJENDRA SHUKLA,Independent,251
ADVOCATE VIJAY MISHRA,All India Forward Bloc,235
ROHIT PATIL,Shiv Sena,223
CHHOTELAL RAJAK,Bahujan Mukti Party,219
SHEMPOO VISHWAKARMA,Independent,199
KOMAL CHANDRA PATEL,Shoshit Samaj Dal,190
ADVOCATE DEEPAK GUPTA,Adhikar Vikas Party,175
ADV. DEVENDRA SHUKLA,Independent,156
PRASHANT SINGH BAGHEL,Janata Dal  (Secular),150
DEENANATH SEN,Janata Congress,145
HIMANSHU SHUKLA,Rashtriya Kisan Vikas Party,131
SUSHIL MISHRA (SABKE MAHARJ),Independent,112
"ARVIND TRIPATHI ""BHAYBHIT""",Independent,86
UMA MISHRA,Independent,75
None of the Above,None of the Above,660
