DR. RAMAN SINGH,Bharatiya Janata Party,80589
KARUNA SHUKLA,Indian National Congress,63656
DEEPAK YADAV,Janta Congress Chhattisgarh (J),1858
KAILASH SHRIVASTAVA,Independent,1782
DR. UDAY RATRE,Independent,1093
KRISHN KUMAR SINGH (PAPPU THAKUR),Independent,715
AGYARAM CHOUHAN,Pichhara Samaj Party United,607
SUKRIT DAS SAHU,Independent,463
GURUSARAN SINGH,Independent,414
VARUN TIWARI,Aam Aadmi Party,363
ARVIND TIWARI,Independent,308
LEKHU SANJAY SAHU CHHATTISGARIA,Chhattisgarh Swabhiman Manch,279
YOUGALKISHOR SONTEKE,Ambedkarite Party of India,260
AMOD WADEKAR,Independent,242
PRATIMA SANTOSH WASNIK,Republican Paksha (Khoripa),202
RITESH KUMAR MESHRAM,Independent,192
PREMNARAYAN VERMA,Chhattisgarh Mukti Morcha,192
JAIPRAKASH SIRVANI,Independent,178
SHYAM RAO SUKHDEVE,Independent,166
ANISH KHAN,Independent,145
AKIL KHAN,Independent,124
LEKHRAM BAGHEL,Independent,119
SUNIL YADAV,Chhattisgarh Sanyukt Jatiye Party,114
DINESH NAMDEO,Independent,74
YUSUF BHAI CHHATTISGADIHA,Independent,51
MOHAMMAD AKIL GORI,Independent,50
RAJKUMAR,Independent,49
PADAM CHAND LALWANY 'JAIN',Independent,47
RAMCHARAN YADAW,Independent,45
RAJMAHANT RAMDAYAL DAHARIYA,Independent,23
None of the Above,None of the Above,1501
