BRIJMOHAN AGRAWAL,Bharatiya Janata Party,77589
KANHAIYA AGRAWAL,Indian National Congress,60093
UMESH DAS MANIKPURI,Bahujan Samaj Party,1514
MUNNA BISEN,Aam Aadmi Party,1363
MANISH THAKUR,Bhartiya Tribal Party,491
AATMADAS  MAHESHWARI,Rashtriya Jansabha Party,354
MUKESH KUMAR LOKHANDE,Ambedkarite Party of India,316
MANISH SHRIVASTAV,Independent,260
RESHAM LAL JANGDE,Shiv Sena,226
SANTOSH SAHU,Independent,221
NUSRAT  BEGUM,Independent,210
MANJU BAI YADAV,Independent,205
ABDUL RAZZAK,Independent,189
BISESHER BAGHMAR,Bhartiya Panchyat Party,185
NEERAJ SAINI (PUJARI),Akhil Bharat Hindu Mahasabha,166
ANIL KUMAR KADAM,Independent,166
HABIB KHAN,Independent,152
SMT. RUBEENA ANJUM,Independent,150
PAVAN SHUKLA,Independent,145
MAZHAR IQBAL,Rashtriya Gondvana Party,138
BHARATLAL SONI,Bharat Bhoomi Party,124
SHEKH RAHMUDOODIN,Independent,99
A. NAZIR,Independent,98
ILIYAS HUSSAIN,Bhartiya Sarvjan Hitay Samaj Party,86
JAGESHWER PRASAD TIWARI,Janata Dal  (United),80
SHEIKH ASIF KHAN,Independent,79
DR. GOJUPAUL,Republican Party of India (A),78
ABDUL SHEIKH NAIM,Independent,77
SUBHASH KURRE,Independent,76
PRAVIN JAIN,Akhil Bhartiya Sarvadharma Samaj Party,73
DHEERAJ TIWARI,Anjaan Aadmi Party,66
IMRAN BAKS,Independent,62
EMRAN ALI,Independent,62
MO. AJAZ AHMED,Independent,58
SHAYRA BANO,Independent,54
NAIM ANSARI,Independent,54
ASHA BARELE,Independent,48
SHANKAR LAL VARANDANI,Independent,44
AAMNA BEGAM,Independent,41
RUMANA HUSSAIN,Independent,39
SHARIQ  ALMAS,Independent,37
M. VAKIL SHDDHAQUI,Independent,35
SALIM KHAN,Independent,32
MO. AHMAD,Independent,30
SHAGUFTA AFROZ,Independent,27
SHABUDDIN,Independent,25
None of the Above,None of the Above,1521
