DR. SHIVKUMAR DAHARIYA,Indian National Congress,69900
SANJAY DHIDHI,Bharatiya Janata Party,44823
SANJAY CHELAK,Janta Congress Chhattisgarh (J),27903
SHARDA BANJARE,Independent,3042
NARAYAN PRASAD TANDAN,Independent,1528
DAGESHVAR BHARTI,Aam Aadmi Party,1423
SANTOSH KUMAR DAHARIYA,Shiv Sena,1112
SANJAY KUMAR KOSARIYA,Chhattisgarh Vikas  Party,1053
NAROTTAM BANJARE,Independent,552
ASHOK SONWANI,Independent,439
GAJENDRA SINGH KOSHLEY,Independent,379
DR. UDAY RATRE,Independent,361
NEHA BAGHEL,Bharatiya Bahujan Congress,360
TARJAN JANGADE,Independent,315
RIJHENDRA KUMAR DAHARIYA,Rashtriya Jansabha Party,265
ADVOCATE SHAILENDRA BANJARE(SHAKTI PUTRA ),Shakti Sena (Bharat Desh),202
None of the Above,None of the Above,1321
