PRAHLAD LODHI,Bharatiya Janata Party,79647
PANDIT MUKESH NAYAK,Indian National Congress,55967
BHUWAN VIKRAM SINGH (KESHU BHAIYA RAJA),Samajwadi Party,22384
SITA RAM PATEL ADVOCATE,Bahujan Samaj Party,14381
MAHIPAL SINGH,Gondvana Gantantra Party,9913
ANIL TIWARI,Aam Aadmi Party,3846
MANSUKH LAL,Independent,2275
P. MUKESH,Independent,1863
PRAKASH LODHI,Independent,1516
RAJU PRASAD LODHI,Bhartiya Shakti Chetna Party,1243
KAMLESH KUMAR GUPTA,Independent,1054
BALMAN KUSHWAHA,Rashtriya Lok Samta Party,805
KULDEEP TIWARI,Shiv Sena,792
GANGARAM KUSHWAHA,Jan Adhikar Party,481
None of the Above,None of the Above,3789
