"THAKUR SURENDRA SINGH NAVAL SINGH ""SHERA BHAIYA""",Independent,98561
ARCHANA DIDI,Bharatiya Janata Party,93441
RAVINDRA SUKA MAHAJAN,Indian National Congress,15369
MANOJ  PAWAR,Bahujan Samaj Party,3559
SHOUKAT ALI  AKBAR ALI,Independent,1205
ASHISH SHARMA,Shiv Sena,518
SHAIKH SHARIF RAJGEER,Independent,487
VIJAY SHAH GANJEWALA,Independent,410
SWAMI PUSHKARANAND MAHARAJ,Independent,208
DAYASHANKAR YADAV S/O RAJPAT YADAV,Independent,191
None of the Above,None of the Above,5726
