ASHOK ISHWARDAS ROHANI,Bharatiya Janata Party,71898
PT. ALOK MISHRA,Indian National Congress,45313
RAJESH KUMAR SINGH,Bahujan Samaj Party,3392
YUVRAJ VISHWAKARMA,Aam Aadmi Party,816
SURENDRA YADEO,Independent,703
YOGESH AGARWAL,Independent,573
COMRED VIDYA KHANGAR,Communist Party of India  (Marxist),372
KANHAIYA TIWARI,Shiv Sena,328
LALIT KESHWANI,Bhartiya Jan Sampark Party,194
ANIL RAIDAS (ADVOCATE),Independent,189
PRADEEP GAYAKVAR,Independent,134
ADVOCATE- VED PRAKASH PATEL,Swarnim Bharat Inquilab,121
ASHISH PAROCHE,Independent,87
DHARMENDRA KUMAR,Bhartiya Shakti Chetna Party,76
None of the Above,None of the Above,2256
