DR.SITASARAN SHARMA,Bharatiya Janata Party,82216
SARTAJ SINGH,Indian National Congress,66999
JITENDRA SINGH RATHOR,Sapaks Party,1553
VINOD LONGRE,Bahujan Samaj Party,1325
MUKESH BABU AHIRWAR,Independent,728
MANJULATA JAT,Independent,667
V.S.AWASTHY(VIDHASHANKAR AWASTHY),Proutist Sarva Samaj,494
KINNAR PANCHI DESHMUKH,Akhil Bharat Hindu Mahasabha,441
PANDIT DINESH CHATURVEDI SHIKSHAK,Independent,374
P.KAILASH SONKIYA,Aam Aadmi Party,274
SARJERAO SAHARE(RETIRED DEPUTY COLLECTOR),Bahujan Mukti Party,203
KRUSHNA MOHAN PATEL(DAARI PATEL),Independent,161
R.P MAGRAIYA,Bahujan Sangharshh Dal,156
DHANEERAM (CHATAK),Bhartiya Panchyat Party,125
None of the Above,None of the Above,1369
