INDER SINGH PARMAR,Bharatiya Janata Party,78952
RAMVEER SINGH SIKARWAR,Indian National Congress,73329
JAY SHINGH MISTREE,Bahujan Samaj Party,2046
GOVIND SINGH,Bahujan Sangharshh Dal,1553
NAVIN KUMAR VARMA (PANDIT),Independent,990
SHRI SURAJ SHINGH JI PARMAR ( JIYAJI ),Aam Aadmi Party,489
RAMESH YADVA (BHANEJ),Independent,446
SANT PREETAM MAHARAJ,Shiv Sena,434
RAJENDRA MAHAJAN,Sapaks Party,376
DINESH SHINDAL,Prajatantrik Samadhan Party,267
None of the Above,None of the Above,1881
