RASHMI ASHISH SINGH,Indian National Congress,52616
SANTOSH KAUSHIK (GURUJI),Janta Congress Chhattisgarh (J),49625
HARSHITA PANDEY,Bharatiya Janata Party,45622
BALRAM SAHU,Independent,1861
ANIL BAGHEL,Aam Aadmi Party,1564
PRATEEK PANDEY,Independent,1422
SIDDHRAM LAHARE,Rashtriya Jansabha Party,1330
HORILAL MAHRA,Shiv Sena,941
BHAGIRATHI KURRE,Independent,795
GEETA RAM SAHU,Bhartiya Shakti Chetna Party,750
JAGANNATH PRASAD DHURW,Rashtriya Gondvana Party,690
GIRISH PATLE,Ambedkarite Party of India,582
RAGHUVANSHMADI KHAIRWAR,Independent,470
DURPATI DEVI SURYAVANSHI,Independent,458
NIYANTA KURRE,Independent,456
SATISH SONWANI,Aap Sabki Apni Party,448
DEVANAND KAUSHIK,Independent,360
AJAY KUMAR JANGRE,Independent,334
SUSHANT KUMAR PATREY,Independent,309
RAMESH KUMAR VASTRAKAR,Independent,293
RAMCHANDRA KARDA,Independent,270
SURENDRA KUMAR LAHARE,Independent,222
SADHELAL SULTAN,Independent,161
SATISH KUMAR GHRITLAHARE,Independent,143
None of the Above,None of the Above,916
