ALOK CHATURVEDI (PAJJAN BHAIYA),Indian National Congress,65774
ARCHNA GUDDU SINGH,Bharatiya Janata Party,62279
ABDUL SAMEER (BHAIYA THEKEDAR),Bahujan Samaj Party,9161
PANDIT VINOD KUMAR DUBEY,Independent,1446
AGRAWAL VINOD,Sapaks Party,1180
GAYATRI KUSHWAHA,Jan Adhikar Party,1144
RAKESH PATEL,Independent,976
RAJU RAIKWAR(PAN BALE),Independent,848
MOHAN SINGH,Samajwadi Party,640
MOHAMMAD NAWAB KHAN,Independent,443
AHRWAR HARISHCHANDRA,Independent,426
ARCHANA SINGH W/O BALBEER SINGH,Independent,392
MANJU ASHUTOSH DWIVEDI,Bhartiya Shakti Chetna Party,327
DEEPA PATEL,Apna Dal (Soneylal),313
NEHA SINGH,Independent,303
ARCHANA SINGH W/O RAJENDRA SINGH,Independent,272
None of the Above,None of the Above,762
