GOPAL BHARGAVA,Bharatiya Janata Party,93690
KAMLESH SAHU,Indian National Congress,66802
SIMARANI,Independent,1716
ER.DEEPCHAND AHIRWAL,Bahujan Samaj Party,1101
MAHESH LODHI,Independent,645
YAMUNA PRASAD RAJU,Independent,627
MUNNALAL (GOPAL),Independent,474
RAJESH SINGH SOYAM,Gondvana Gantantra Party,204
NANDRAM KURMI,Independent,188
KAMLESH SAHU,Independent,130
DASHRATH AHIRWAR,Independent,130
ARUN (GOPAL),Independent,128
NANHEBHAI,Independent,127
DINESH PATEL,Independent,95
None of the Above,None of the Above,2130
