AKBAR BHAI,Indian National Congress,136320
ASHOK SAHU,Bharatiya Janata Party,77036
RAMKHILAWAN DAHARIYA,Independent,6604
AGAM DAS ANANT,Janta Congress Chhattisgarh (J),6250
RAM KUMAR SAHU,Independent,2947
REKHACHAND BAGHEL,Independent,1990
MALESH KUMAR MARKAM,Gondvana Gantantra Party,1475
MOHIT SAHOO,Independent,1265
BHOJ KUMAR BANJARA,Independent,903
SIYADEVI PENDRO,Independent,701
AGHAN SINGH YADAV,Samajwadi Party,547
KAMLESH TIWARI DAMRUWALE,Independent,468
ASHOK SAHU,Chhattisgarh Swabhiman Manch,465
KRITI DEVI SINGH (YOGESHWR RAJ SINGH),Independent,459
GOPAL SINGH KHUSARO,Independent,438
KAUSHAL KUMAR MOHLE,Independent,402
AJAY PALI (BABA),Shiv Sena,381
AKBAR AJMER,Independent,342
SANTLAL DHURWEY,Independent,296
SUSHIL KUMAR SATYAVANSHI,Independent,268
SEWARAM PATRE,Independent,233
None of the Above,None of the Above,949
