REKHCHAND JAIN,Indian National Congress,76556
SANTOSH BAFNA,Bharatiya Janata Party,49116
MANGALRAM KASHYAP,Communist Party of India,3020
AMIT PANDEY,Janta Congress Chhattisgarh (J),2801
NASEEM QURESHI,Independent,2306
PAPPURAM NAG,Independent,1382
SURENDRA CHALKI,India Praja Bandhu Party,1233
KARIYA DIWAN,Shiv Sena,1081
JAGATRAM NAG,Independent,1075
ROHIT SINGH ARYA,Aam Aadmi Party,861
SAROJ YADAV,Rashtriya Jansambhavna Party,717
PALANRAM SAHU,Independent,488
SHYAM GHOSH,Bhartiya Panchyat Party,475
MUNNARAM BAGHEL,Independent,410
SHIVCHARAN,Akhil Bharat Samagra Kranti Party,389
SALIM RAZA,Independent,357
PURUSHOTTAM SHUKLA,Rashtriya Gondvana Party,346
VIRENDRA  VAIDH(SINHA),Rashtriya Jansabha Party,335
VIMLESH DUBEY,Samajwadi Party,287
NANDLAL GUPTA(NANDU BHAIYYA),Bhartiya Naujawan Inklav Party,267
YASHODA VISHWAKARMA,Independent,213
None of the Above,None of the Above,936
