ANOOP NAG,Indian National Congress,57061
VIKRAM USENDI,Bharatiya Janata Party,43647
SUKHRANJAN USENDI URAF SILEDAR,Independent,4854
SANTRAM SARPHE (SALAM),Aam Aadmi Party,3981
HEMANT POYAM,Bahujan Samaj Party,1243
RUPDHAR PUDO,Ambedkarite Party of India,1085
LAXMAN SINGH KOMRA,Independent,922
NEHRU RAM KOMRA,Independent,683
SUNITA DHURVE MANDAL,Bhartiya Panchyat Party,663
PARVAR SINGH KOMRA,Gondvana Gantantra Party,607
BIRENDRA PARTE,Shiv Sena,484
None of the Above,None of the Above,4831
