"JAJPAL SINGH ""JAJJI""",Indian National Congress,65750
ER. LADDURAM KORI,Bharatiya Janata Party,56020
BALKRISHN,Bahujan Samaj Party,9559
DEVILAL THEKEDAR,Sapaks Party,1462
JAGDISH BHANDARI (AHIRWAR),Bahujan Sangharshh Dal,1090
JEEVANDAS,Independent,613
V P SINGH JATAV,Independent,558
SHYAM SHAKYA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),520
RAJ BAI,Mahanwadi Party,345
DAYALUDAS SHAKYA,Bhartiya Panchyat Party,287
LALLIRAM,Aam Aadmi Party,259
None of the Above,None of the Above,2004
