PRAKASH SHAKRAJEET NAIK,Indian National Congress,69062
ROSHANLAL,Bharatiya Janata Party,54482
VIJAY AGRAWAL,Independent,42914
RAVISHANKAR PATEL,Independent,7823
VIBHAS SINGH THAKUR,Janta Congress Chhattisgarh (J),5823
BIRSINGH NAGESH,Bhartiya Tribal Party,2114
MUKUND GUPTA,Independent,1918
CHEHARALAL CHOUHAN,Independent,1486
BHARAT KUMAR DUBEY (OM TENT),Independent,777
RAJESH TRIPATHI,Aam Aadmi Party,499
MAHESH KUMAR KHOBRAGADE,Ambedkarite Party of India,476
SHARMILA DEVI,Bharatiya Rashtravadi Samanta Party,429
RAJESH JAIN,Shiv Sena,384
GOVIND DUBEY (AD.),Independent,319
TEJRAM MALAKAR,Independent,291
NURUL SHAMS ALIAS JAVED ALI,Independent,282
NAZIR AHMAD,Independent,239
None of the Above,None of the Above,2215
