"SANJAY YADAV ""SEONI TOLA""",Indian National Congress,86901
PRATIBHA SINGH,Bharatiya Janata Party,69338
SHANKER SINGH,Independent,3281
ADVOCATE SIDDHARTH GUPTA,Gondvana Gantantra Party,2376
RAM MANOHAR,Bahujan Samaj Party,1895
ANEETA,Bhartiya Shakti Chetna Party,1655
SHIV PRASAD,Independent,1043
SARJU MASRAM,Independent,899
SMT. JYOTI NITIN SINGH,Samajwadi Party,527
VINOD MEADHTO,Independent,456
DR. ANUJA PATEL (LODHI),Independent,448
INDAL SINGH,Nirbal Indian Shoshit Hamara Aam Dal,390
SURESH SHING SATNAMI,Bhartiya Panchyat Party,389
ADVOCATE ABHAY SAHU,Independent,347
SMT. VIMLAWATI PATEL (VIMLA HARDWARE),Shiv Sena,321
None of the Above,None of the Above,3091
