DHANENDRA SAHU,Indian National Congress,76761
CHANDRASHEKHAR SAHU - CHAMPU BHAIYYA,Bharatiya Janata Party,53290
DAYARAM NISHAD,Janta Congress Chhattisgarh (J),21324
BRAMHANAND SAHU,Independent,2249
SHWETA RAKESH SAHU,Independent,2040
TIKENDRA SINGH THAKUR,Nationalist Congress Party,1242
SHAKUNTALA MANDLE,Independent,962
SANJAY RAI,Aam Aadmi Party,695
SAVITRI PAL,Independent,582
BHUNESHWAR,Independent,479
TEKESHWAR CHATURVEDI,Independent,244
DEEPAK KUMAR NAVRANGE,Independent,182
None of the Above,None of the Above,3005
