ASHISH KUMAR CHHABRA,Indian National Congress,74914
AWADHESH SINGH CHANDEL,Bharatiya Janata Party,49783
YOGESH TIWARI,Janta Congress Chhattisgarh (J),28332
SANJEEV AGRAWAL,Independent,4374
SOHAN LAL NISHAD,Nirbal Indian Shoshit Hamara Aam Dal,4275
CHURAMAN SINGH SAHU,Janata Dal  (United),1713
ANJOR DHAS MAHANT,Independent,1332
RAMCHAND SAHU,Independent,969
DAURAM CHOUHAN,Shiv Sena,638
SAIYAD FARUQUE ALI,Aam Aadmi Party,613
YASHWANT SITARAM SAHU,Bhartiya Shakti Chetna Party,526
RAJESH DUBEY,Independent,469
MANMOHAN THAKUR,Independent,375
BHUNESHWAR SATNAMI,Independent,362
BALDAU PRASAD SIWARE,Ambedkarite Party of India,343
None of the Above,None of the Above,3789
