UTTARI GANPAT JANGDE,Indian National Congress,101834
KERA BAI  MANAHAR,Bharatiya Janata Party,49445
ARVIND KHATKER,Bahujan Samaj Party,31083
SANTOSHI,Independent,1476
KRISHNA CHAND BHARDVAJ,Independent,1147
SANTOSH KUMAR CHAUHAN,Independent,1139
DEVANAND NIRALA,Bharatiya Bahujan Congress,1076
SEEMA  AJAY,Ambedkarite Party of India,1055
SUBHASH CHAUHAN,Aam Aadmi Party,1024
DHANKA  NIRALA,Independent,771
GHURAU SARTHI,Independent,748
MANGAL PRASAD MAHESH,Bhartiya Lokmat Rashtrwadi Party,495
RAVINDRA KUMAR RATRE,Sunder Samaj Party,389
None of the Above,None of the Above,2342
