VIJAYRAGHVENDRA SINGH (BASANT SINGH),Indian National Congress,84236
MOTI KASHYAP,Bharatiya Janata Party,62876
AJAY GOTIYA,Bahujan Samaj Party,5942
ARVIND SINGH TEKAM,Gondvana Gantantra Party,4938
RATAN LAL BHATTAR,Independent,2024
BANIYA PRASAD,Independent,1877
ANJAN KOL,Communist Party of India,1745
'' SURESH KOL '',Independent,1433
PREM CHAND MAJHI,Independent,1276
ALKA GOUD,Aam Aadmi Party,1081
LAL SINGH BARKADE,Pichhara Samaj Party United,766
None of the Above,None of the Above,3783
