GURUDAYAL SINGH  BANJARE,Indian National Congress,86779
DAYALDAS BAGHEL,Bharatiya Janata Party,53579
OMPRAKASH BATCHPAYI,Bahujan Samaj Party,18576
HEMANT KUMAR MAHILANG,Independent,3501
HIRALAL ANANT,Independent,3389
BHAI HARIKISHAN,Independent,1484
ANJORDAS GHRITLAHARE,Aam Aadmi Party,1081
LAKHVIR SINGH,Independent,677
RAJU PATREY,Shiv Sena,593
RAMAKANT RAY,Independent,369
ANAND NAWAGARHIYA,Independent,325
BHASKAR GHOSH,Independent,313
TEK RAM KOSHLE,Independent,275
BHAGBALI SIWARE,Independent,264
BHARAT LAL PATALEY,Independent,255
None of the Above,None of the Above,2196
