BIRENDRA RAGHUVANSHI,Bharatiya Janata Party,72450
MAHENDRA RAMSINGH YADAV,Indian National Congress,71730
ASHOK SHARMA (GURUJI),Bahujan Samaj Party,16483
DHANIRAM,Bahujan Sangharshh Dal,2018
MAHENDRA SINGH YADAV,Independent,1688
MANGAL SINGH,Independent,1577
BHANU PRAKASH,Aajad Bharat Party (Democratic),1466
MANISH,Independent,852
VINOD KUMAR RAGHUWANSHI,Sapaks Party,850
SATYENDRA KUMAR BHARGAV,Shiv Sena,386
NAVAL SINGH,Independent,329
BHAIYALAL PARIHAR,Aam Aadmi Party,296
KAMLESH PURI,Independent,246
None of the Above,None of the Above,1674
