ARVIND SINGH BHADORIA,Bharatiya Janata Party,58928
HEMANT SATYADEV KATARE,Indian National Congress,53950
SANJEEV BAGHEL,Bahujan Samaj Party,16585
CHATUR SINGH,Independent,695
NAND KISHOR YADAV,Samajwadi Party,645
SHYAM SUNDAR SINGH YADAV,Loktantrik Samajwadi Party,636
ASHOK SINGH BHADOURIA (KANAWAR),Aam Aadmi Party,520
JALALUDDIN KHAN,Independent,328
KOSHLENDRA SINGH,Independent,297
CHANDRVEER SINGH,Independent,293
GANESH SHINGH BHADORIA,Independent,270
DINESH SINGH,Independent,255
SONU,Independent,245
AVDHESH RAJAWAT,Independent,220
MITHLESH VIJAY MISHRA (RAJU KHERI),Sarva Samaj Kalyan Party,191
OMPRAKASH LAHARIA,Independent,133
SHIVCHARAN SINGH LODHI,Rashtriya Kranti Party,121
JAY PRAKASH,Independent,121
SANTOSH SHARMA,Independent,117
HARENDRA SINGH BHADOURIYA,Independent,109
UMESH GARG,Independent,102
INDAL SINGH,Independent,97
SARVESH SINGH,Independent,96
RAMNARESH PAVAIYA (JAGNNATH),Independent,96
ARVIND TYAGI,Independent,73
SANTOSH KUMAR PACHAURI,Independent,69
MUKESH KUMAR PORSIYA,Independent,37
BHURI BAI,Independent,37
MOHIT SINGH TOMAR,Independent,37
VIKRANT SINGH,Independent,36
RAJEEV SINGH BHADORIA,Independent,33
VIRENDRA D SHARMA,Independent,31
ENGINEER RAHUL DIXIT,Independent,30
None of the Above,None of the Above,195
