MAHENDRA HARDIA,Bharatiya Janata Party,117836
SATYANARAYAN PATEL,Indian National Congress,116703
DONGAR SINGH GOYAL,Bahujan Samaj Party,1422
SHAILENDRA KUMARI RANAWAT,Aam Aadmi Party,878
KAILASH KUMAWAT,Shiv Sena,850
MUKESH KUMAR DWIVEDI,Sapaks Party,847
CHHOTELAL,Communist Party of India  (Marxist),689
ZAHEERUDEEN,Minorities Democratic Party,582
SANTOSH MEENA,The Imperial Party of India,387
MOHAMMAD IMTIYAZ KHAN,Independent,350
ASHOK BALKISHAN,Independent,296
BHUPENDRA CHAURASIA,Sampoorna Samaj Party,191
PRABHUDAYAL,Prajatantrik Samadhan Party,131
None of the Above,None of the Above,2786
