SAJJAN SINGH VERMA,Indian National Congress,86396
RAJENDRA PHULCHAND VERMA,Bharatiya Janata Party,76578
BABULAL CHOUHAN,Bahujan Samaj Party,3657
DHARMRAJ PRADHAN,Independent,2263
PRAHLAD RATHORE,Aam Aadmi Party,1332
RAJENDRA VERMA,Independent,1249
SAGAR (SAJJAN BHAIYA),Independent,903
DHARMENDRA SOLANKY,Independent,614
AKHILESH   BAGRI BALON,Independent,563
MADANLAL SOLANKI,Prajatantrik Samadhan Party,514
MOHANLAL REKWAL,Bahujan Sangharshh Dal,305
DEEPAK MALVIYA,Independent,245
None of the Above,None of the Above,1975
