RAVINDRA CHAUBE,Indian National Congress,95658
LABHCHAND BAFNA,Bharatiya Janata Party,64123
TEKSINGH CHANDEL,Janta Congress Chhattisgarh (J),6206
BASANT AGRAWAL,Independent,5700
LOCHAN SAHU,Independent,4274
ASHOK KUMAR SINGHANIYA,Aam Aadmi Party,637
RAKESH SINGH,Independent,602
KAUSHILYA NARANG,Independent,491
GULAB SINGH LODHI,Bhartiya Shakti Chetna Party,368
YESWANT BHARGOW,Independent,308
CHITREN LODHI,Shiv Sena,303
BHAGATRAM,Independent,262
ROHIT SINHA,Janata Dal  (United),204
KISHAN SAHU,Independent,199
ASHOK TANDULKER,Independent,146
None of the Above,None of the Above,5840
