CHHANNI CHANDU SAHU,Indian National Congress,71733
HIRENDRA KUMAR SAHU,Bharatiya Janata Party,44236
JARNAIL SINGH BHATIYA,Janta Congress Chhattisgarh (J),14507
MADAN LAL NETAM,Independent,6766
RAMKRISHN YADU,Independent,3536
DEVI LAL MARKAM,Independent,2699
ARJUN SINGH THAKUR (KORRAM ),Ambedkarite Party of India,1031
KAMAL DAS SAHU,Independent,910
RAMESH YADAV,Aam Aadmi Party,839
ANITA SINHA,Pichhara Samaj Party United,830
DEV PARSHAD YADAV (RAJU),Shiv Sena,791
TIJU RAM SAHU,Independent,771
CHANDRA PRAKASH SINHA,Gondvana Gantantra Party,626
KEDAR RAM YADAV,Independent,535
SURENDRA SINGH,Janata Dal  (United),438
AKIL BHAI,Independent,421
None of the Above,None of the Above,1383
