VISHVAS SARANG,Bharatiya Janata Party,108654
DR. MAHENDRA SINGH CHOUHAN,Indian National Congress,85503
MEHARBAN SINGH TITORIYA,Bahujan Samaj Party,2297
COLONEL KESHARI SINGH (RETD),Sapaks Party,1451
REHAN JAFRI,Aam Aadmi Party,762
GOPAL SHARMA,Independent,708
MOH. JAVED,Independent,490
MOHD. ATEEK,Independent,366
VIPIN KUMAR YADAV,Samajwadi Party,320
SAMRAT SINGH SAHU,Bahujan Mukti Party,224
DR. MAHENDRA SINGH,Independent,222
PT. DHANRAJ DUBEY,Shiv Sena,202
BALRAM SINGH TOMAR,Bhartiya Shakti Chetna Party,167
IBRAHIM KHAN,Independent,151
SANTOSH KUMAR SAHOO,Independent,136
DR.MAHENDRA SINGH CHOUHAN,Independent,130
HARISH  GUPTA,Independent,110
MO. AZAHAR,Independent,109
SHAHJAHAN,Independent,105
VIRENDRA KUMAR,Samajwadi Janata Party (ChandraShekhar),95
SANJAY KUMAR SAROJ,Bhartiya Panchyat Party,91
MO. SUFIYAN SIDDQUI,Independent,89
MOHOMMAD. AKRAM ALI,Independent,82
ZAHID KHAN,Independent,80
SHADAB MIYAN,Independent,71
SHARJEEL KHAN,Independent,68
MEHARBAN SINGH GURJAR,Independent,61
RAVI SONI,Independent,59
SANA NAAZ,Independent,58
SHIVCHARAN,Independent,54
SANTOSH KUMAR KURALE,Independent,44
None of the Above,None of the Above,1135
