CHOUDHARY SUJEET MER SINGH,Indian National Congress,78415
PT. RAMESH DUBEY,Bharatiya Janata Party,65411
JAY PAL UIKE,Gondvana Gantantra Party,12551
RAJENDRA SINGH RAGHUWANSHI,Independent,2582
LODHI VIPIN VERMA,Independent,1900
ASHOK SEVATKAR,Bahujan Samaj Party,1596
PRASHANT SHARMA,Aam Aadmi Party,1549
ANIL JAIN @ GULLU SETH,Sapaks Party,1479
RAVISHANKAR,Independent,922
RATAN DHURVE,Independent,725
MADANLAL BADIWA,Independent,485
NANHO VERMA,Independent,410
DADUAA UIKEY,Independent,276
None of the Above,None of the Above,2331
