SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,123492
ARUN SUBHASHCHANDRA,Indian National Congress,64493
REVARAM SALLAM,Gondvana Gantantra Party,8152
SANJEEV KUMAR,Bahujan Samaj Party,1683
HEMRAJ PETHARI,Independent,1386
PREM SINGH,Independent,672
SHEKHAR CHOUHAN,Independent,628
VIMLESH R B,Aam Aadmi Party,535
VEENA,Shiv Sena,380
GUNDESH KUMAR KHAMBRA,Independent,335
ABDUL RASHID,Independent,328
RADHESHYAM SHARMA BHOLU,Bharatiya Rashtravadi Samanta Party,307
PREMNARAYAN,Independent,302
BRIJESH GUPTA,Jai Lok Party,260
AMAR SINGH,Independent,233
None of the Above,None of the Above,1764
