GOPILAL JATAV,Bharatiya Janata Party,84149
CHANDRA PRAKASH AHIRWAR (BANTI),Indian National Congress,50482
SURESH KUMAR ROSHAN (MASTAR),Bahujan Samaj Party,4169
JAGDISH KHATIK,Sapaks Party,2593
RAMESH SENDO SWARAJ MANCH,Independent,914
SEEMA RAI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),826
NARAYAN LAL CHIDAR (MAIYYAR BABU JI),Independent,574
KULDEEP ALHAPURIYA (BABA),Independent,425
"PRAMOD PANT ""RINKU PURWAIYA""",Shiv Sena,421
KOMAL PRASAD SHAKYA,Independent,296
NAVAL KISHOR DAMLE,Independent,287
ASHOK JATAV 'THEKEDAR',Rashtriya Lok Samta Party,233
HARISH CHAND CHHIRAWAT,Bhartiya Panchyat Party,197
VIJAY AHIRWAR,Aam Aadmi Party,175
None of the Above,None of the Above,2390
