ARIF MASOOD,Indian National Congress,76647
SURENDRA NATH SINGH (MAMMA),Bharatiya Janata Party,61890
P. K. MANJURE,Sapaks Party,961
GOKUL SHAKYA-BOUDDH,Bahujan Samaj Party,781
FIDA HUSAIN,Communist Party of India,473
FARAZ KHAN,Aam Aadmi Party,451
UPENDRA TIWARI,Rashtriya Garima Party,322
RAEES BABLU,Independent,233
JITENDRA KUMAR SAHU,Samajwadi Party,217
SHAMSHUL HASAN,Rashtriya Krantikari Samajwadi Party,112
DEVENDRA PRAKASH MISHRA,Independent,107
KRISHNA KUMAR MISHRA,Independent,96
JAVED KHAN,Independent,94
SITA RAMJI PATERIYA,Bhartiya Shakti Chetna Party,86
RAJKUMAR GODIYA,Kranti Janshakti Party,82
None of the Above,None of the Above,1517
