TARUN BHANOT,Indian National Congress,82359
"HARENDRAJEET SINGH ""BABBU""",Bharatiya Janata Party,63676
ADV. DINESH KUSHWAHA,Bahujan Samaj Party,1527
ASHISH SINGRHA,Aam Aadmi Party,1195
PRAVEEN PANDEY (ADVOCATE),Sapaks Party,851
AJAY PANDEY,Sarva Samaj Kalyan Party,616
VISHNU KUMAR,Independent,506
PIYUSH VERMA,Independent,388
AMIN KHAN,Independent,229
PANKAJ BURMAN,Bhartiya Shakti Chetna Party,219
ADVOCATE  UDAY KUMAR SAHU,Bahujan Mukti Party,181
ANGELINA PRASAD,Independent,171
MO. WASEEM ANSARI,Gondvana Gantantra Party,131
SANJAY CHAKRAWARTY,Swarnim Bharat Inquilab Party,111
None of the Above,None of the Above,2632
