BABU JANDEL,Indian National Congress,98580
DURGA LAL VIJAY (VAKIL),Bharatiya Janata Party,56870
TULSINARAYAN MEENA,Bahujan Samaj Party,14444
AD. KULDEEP SINGH,Aam Aadmi Party,2142
DIPTEE SAYYAD ZFAR ALI,Independent,1062
MUKESH SUMAN,Bahujan Mukti Party,937
HRVILASH ADIVASI,Independent,878
TEJPAL ADIWASI,Jai Prakash Janata Dal,594
MURLIDHAR PRAJAPATI,Rashtriya Krantikari Samajwadi Party,525
RAVINDRA KUMAR,Inqalab Vikas Dal,466
BHURE SINGH MALEE,Jan Adhikar Party,398
None of the Above,None of the Above,1794
