KAMLESH JATAV,Indian National Congress,37343
NEHA KINNAR,Independent,29796
GABBAR SAKHWAR,Bharatiya Janata Party,29715
SATYAPRAKASH SAKHAWAR [ADVOCATE],Bahujan Samaj Party,22179
VIJAY KUMAR CHHARI,Independent,1042
GAJENDAR SINGH,Independent,784
SITA DEVI,Independent,687
SEEMA KATHERIYA,Rashtriya Rakshak Morcha,601
RAJKUMAR SHAKHAWAR,Hind Congress Party,463
RAKESH KUMAR GOUR,Independent,375
SUNEEL KUMAR MAHOR,Aam Aadmi Party,359
RAKESH NAGAR,Bhartiya Panchyat Party,317
None of the Above,None of the Above,1255
