SURESH KUMAR KINLE,Beltara,Nationalist Congress Party,797

AJAY SHARMA,Beltara,Shiv Sena,680

PARAS RAM YADAW,Beltara,Independent,518

KIRAN KUMAR SINGH,Beltara,Gondvana Gantantra Party,452

RUPENDRA KUMAR SURYAWANSHI,Beltara,Republican Party of India (A),411

NAVEEN KUMAR SAHU,Beltara,Ambedkarite Party of India,387

RAMESH SAHU,Beltara,Janata Dal  (United),363

NANDKUMAR KAMAL,Beltara,India Praja Bandhu Party,186

None of the Above,Beltara,None of the Above,2176

VIKRAM MANDAVI,Bijapur,Indian National Congress,44011

MAHESH GAGDA,Bijapur,Bharatiya Janata Party,22427

CHANDRAIYA SAKNI,Bijapur,Janta Congress Chhattisgarh (J),2696

HARISH PAMBHOI,Bijapur,Independent,2004

SANTOSH PUNEM,Bijapur,Samajwadi Party,999

TRIPAT YALAM,Bijapur,Aam Aadmi Party,942

JAMES KUDIYAM,Bijapur,Independent,920

None of the Above,Bijapur,None of the Above,4703

DHARAM LAL KAUSHIK,Bilha,Bharatiya Janata Party,84431

RAJENDRA SHUKLA,Bilha,Indian National Congress,57907

SIYARAM KAUSHIK,Bilha,Janta Congress Chhattisgarh (J),29613

MANOJ THAKUR,Bilha,Independent,4518

SARDAR JASBEER SINGH,Bilha,Aam Aadmi Party,4428

DILIP KUMAR KOSHLE,Bilha,Independent,2583

NIKHADRAM NISHAD,Bilha,Nationalist Congress Party,1606

DEVPRASAD,Bilha,Independent,1215

GANESHRAM JOSHI,Bilha,Independent,1176

NAND KISHORE RAJ,Bilha,Gondvana Gantantra Party,747

VIJAY SHANKAR PATRE,Bilha,Ambedkarite Party of India,718

USMAN KHAN,Bilha,Independent,684

CHANDRAKALA DHIDHI,Bilha,Independent,637

DEVRAM SAHU,Bilha,Bharat Bhoomi Party,620

PRAMOD KUMAR GADEWAL,Bilha,Independent,616

SATVAN SINGH TANDON,Bilha,Independent,586

SURESH PANDEY,Bilha,Independent,321

RAMESH KUMAR LAHARE,Bilha,Independent,313

NIRANJAN KUMAR SAHU,Bilha,Independent,313

NARENDRA SHANDEY,Bilha,Janata Congress,311

B.P. VISHWAKARMA,Bilha,Independent,273

RAM CHARAN KENVAT,Bilha,Aap Sabki Apni Party,247

RAJKUMAR NAVRANG,Bilha,Rashtriya Jansabha Party,241

VINOD KUMAR SAHU,Bilha,Independent,233

MANIRAM GHRITLAHRE,Bilha,Bharatiya Sadbhawana Samaj Party,205

LAHARGANGA SONI,Bilha,Independent,195

RAJKUMAR YADAV,Bilha,Independent,159

LAXMAN DAS MANDLE,Bilha,Independent,139

ROOPDAS KURREY,Bilha,Independent,104

None of the Above,Bilha,None of the Above,1224

ARUN VORA,Durg City,Indian National Congress,64981

CHANDRIKA CHANDRAKAR,Durg City,Bharatiya Janata Party,43900

PRATAP MADHYANI,Durg City,Janta Congress Chhattisgarh (J),20634

KANCHAN SHENDRE,Durg City,Independent,1733

DR. S. K. AGRAWAL,Durg City,Aam Aadmi Party,1701

SUBHASH KUMAR PAUL,Durg City,India Praja Bandhu Party,554

KAMLESH KUMAR NAGARCHI,Durg City,Independent,553

BRAMHA TIWARI,Durg City,Independent,462

ANOOP KUMAR PANDEY,Durg City,Independent,398

AATMA RAM SAHU,Durg City,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),375

BALDEV SINGH SAHU,Durg City,Chhattisgarh Swabhiman Manch,339

RAS BIHARI BARI,Durg City,Independent,319

SUNIL KUMAR MARKANDEY,Durg City,Ambedkarite Party of India,309

ARUN KUMAR JOSHI,Durg City,Independent,269

TAMESHWAR TIWARI,Durg City,Akhil Bharat Hindu Mahasabha,262

BRAJESH KUMAR YADAV,Durg City,Samajwadi Party,257

SURYA NARAYAN SONWANI,Durg City,Pichhara Samaj Party United,234

MAHELKA BEGUM SHEKH,Durg City,Independent,148

SURESH KUMAR VERMA,Durg City,Independent,128

SUJATA SINGH,Durg City,Bhartiya Panchyat Party,123

ADVOCATE RAMRATAN SAHU,Durg City,Independent,63

None of the Above,Durg City,None of the Above,1471

