TARBAR SINGH (BANTU BHAIYA),BANDA,Indian National Congress,84456

HARVANSH SINGH RATHORE (SUKKU BHAIYA),BANDA,Bharatiya Janata Party,60292

AHEER RAMAKANT YADAV,BANDA,Bahujan Samaj Party,7890

PUSHPEND SINGH,BANDA,Bhartiya Shakti Chetna Party,2789

RAMDAS AHIRWAR,BANDA,Independent,1159

SUREDRA AHIRWAR,BANDA,Independent,654

RAJESH ATHIYA,BANDA,Independent,606

IMRAN KHAN,BANDA,Independent,537

RAMESH AHIRWAR,BANDA,Independent,384

BHAGWAN DAS YADAV,BANDA,Aam Aadmi Party,339

TARVAR (BHAIYA),BANDA,Independent,279

MOJI AHIRWAR,BANDA,Independent,252

CHAND KHA (CHANDU),BANDA,Independent,242

GHURAN CHOUDHARI,BANDA,Independent,225

JAVID KHAN,BANDA,Independent,201

None of the Above,BANDA,None of the Above,2273

"SANJAY YADAV ""SEONI TOLA""",BARGI,Indian National Congress,86901

PRATIBHA SINGH,BARGI,Bharatiya Janata Party,69338

SHANKER SINGH,BARGI,Independent,3281

ADVOCATE SIDDHARTH GUPTA,BARGI,Gondvana Gantantra Party,2376

RAM MANOHAR,BARGI,Bahujan Samaj Party,1895

ANEETA,BARGI,Bhartiya Shakti Chetna Party,1655

SHIV PRASAD,BARGI,Independent,1043

SARJU MASRAM,BARGI,Independent,899

SMT. JYOTI NITIN SINGH,BARGI,Samajwadi Party,527

VINOD MEADHTO,BARGI,Independent,456

DR. ANUJA PATEL (LODHI),BARGI,Independent,448

INDAL SINGH,BARGI,Nirbal Indian Shoshit Hamara Aam Dal,390

SURESH SHING SATNAMI,BARGI,Bhartiya Panchyat Party,389

ADVOCATE ABHAY SAHU,BARGI,Independent,347

SMT. VIMLAWATI PATEL (VIMLA HARDWARE),BARGI,Shiv Sena,321

None of the Above,BARGI,None of the Above,3091

NILAY VINOD DAGA,BETUL,Indian National Congress,96717

HEMANT VIJAY KHANDELWAL,BETUL,Bharatiya Janata Party,75072

LATA-RAJU MHASKI,BETUL,Sapaks Party,3916

RAKESH CHOUKIKAR,BETUL,Bahujan Samaj Party,2296

RAJU CHARPE,BETUL,Independent,1321

AJAY,BETUL,Aam Aadmi Party,1004

REKHA GALFAT,BETUL,Independent,862

KALLUSINGH UIKEY,BETUL,Gondvana Gantantra Party,850

RAJ RANE,BETUL,Independent,486

GULABCHAND MAYWAD,BETUL,Independent,353

AAZAD CHANDRA SHEKHER PANDOLE SAMAJ SEVAK,BETUL,Independent,228

ASHOK KUMAR SONI,BETUL,Independent,139

KANHAIYA YADAV,BETUL,Independent,126

None of the Above,BETUL,None of the Above,4635

