KANHAIYALAL,Bassi,Bharatiya Janata Party,37114

ANJU DEVI DHANKA,Bassi,Independent,25207

DAULAT SINGH MEENA,Bassi,Indian National Congress,15626

AVANTI MEENA,Bassi,Independent,2197

RAKESH KUMAR,Bassi,Bahujan Samaj Party,1994

RAMSWAROOP MEENA,Bassi,Independent,1310

RAJENDRA KUMAR MEENA,Bassi,Rashtriya Loktantrik Party,902

LADU RAM HOTALA,Bassi,Independent,810

DHAN SINGH,Bassi,Jan Adhikar Party,682

SANGRAM SINGH BHEEL,Bassi,Bharatiya Rashtravadi Samanta Party,447

PREM DEVI,Bassi,Ambedkarite Party of India,380

SHEELA MEENA,Bassi,Bharat Vahini Party,314

RAJESH KUMAR MEENA,Bassi,Nationalist People's Front,197

RAMPRAKASH MEENA,Bassi,Aam Aadmi Party,142

None of the Above,Bassi,None of the Above,1558

SUDARSHAN SINGH RAWAT,Bhim,Indian National Congress,49355

HARI SINGH CHOUHAN (RAWAT),Bhim,Bharatiya Janata Party,45641

AJAY SONI,Bhim,Independent,35722

HARI SINGH S/O PANNA SINGH,Bhim,Independent,1414

DEVI LAL NAGODA,Bhim,Bahujan Samaj Party,1215

NAINA SINGH CHAUHAN ADVOCATE,Bhim,Bharat Vahini Party,1071

HARI SINGH S/O SOHAN SINGH,Bhim,Independent,964

KHEEMARAM SALVI,Bhim,Independent,542

FATEH SINGH CHAUHAN,Bhim,Aam Aadmi Party,528

LAXMAN LAL SALVI,Bhim,Independent,519

YASHWANTSINGH,Bhim,Independent,463

BALUSINGH RAWAT,Bhim,Janata Dal  (United),417

BABU SINGH,Bhim,Independent,309

None of the Above,Bhim,None of the Above,1904

